country,ISO_Alpha_3,survey,year,age_min,age_max,prop_circumcised,ci_lower,ci_upper,num_uncircumcised,num_circumcised
Namibia,NAM,NM2013DHS,2013,15,19,0.211365182,0.179007886,0.247805944,721.723407,193.431986
Namibia,NAM,NM2013DHS,2013,20,24,0.228277396,0.186211952,0.276615416,622.667408,184.186512
Namibia,NAM,NM2013DHS,2013,25,29,0.279378547,0.23731122,0.325718317,472.619957,183.230566
Namibia,NAM,NM2013DHS,2013,30,34,0.276032011,0.225416784,0.333124597,374.795818,142.900853
Namibia,NAM,NM2013DHS,2013,35,39,0.274149939,0.230256218,0.322901039,322.986658,121.990446
Namibia,NAM,NM2013DHS,2013,40,44,0.288889263,0.231766271,0.35361082,266.324768,108.194634
Namibia,NAM,NM2013DHS,2013,45,49,0.326439129,0.260001975,0.400661057,192.215992,93.156868
Namibia,NAM,NM2013DHS,2013,50,54,0.315277444,0.262256525,0.373589485,314.375771,144.75292
Namibia,NAM,NM2017PHIA,2017,15,19,0.408,,,895.104,616.896
Namibia,NAM,NM2017PHIA,2017,20,24,0.421,,,777.018,564.982
Namibia,NAM,NM2017PHIA,2017,25,29,0.413,,,686.79,483.21
Namibia,NAM,NM2017PHIA,2017,30,34,0.394,,,578.124,375.876
Namibia,NAM,NM2017PHIA,2017,35,39,0.406,,,502.524,343.476
Namibia,NAM,NM2017PHIA,2017,40,44,0.402,,,463.45,311.55
Namibia,NAM,NM2017PHIA,2017,45,49,0.383,,,360.328,223.672
Namibia,NAM,NM2017PHIA,2017,50,54,0.359702206,,,696.644,391.356
Rwanda,RWA,RW2005DHS,2005,15,19,0.076567595,0.058530995,0.099574411,1007.762819,83.559961
Rwanda,RWA,RW2005DHS,2005,20,24,0.089659515,0.07221183,0.110819337,857.174513,84.423194
Rwanda,RWA,RW2005DHS,2005,25,29,0.119205243,0.094206602,0.149740881,555.358869,75.161311
Rwanda,RWA,RW2005DHS,2005,30,34,0.128698791,0.099898037,0.164287321,441.100192,65.154347
Rwanda,RWA,RW2005DHS,2005,35,39,0.091804614,0.067008885,0.124550795,400.25217,40.459351
Rwanda,RWA,RW2005DHS,2005,40,44,0.096129561,0.069480083,0.131555489,363.6671,38.677179
Rwanda,RWA,RW2005DHS,2005,45,49,0.113413651,0.082532793,0.153910692,334.419949,42.779575
Rwanda,RWA,RW2005DHS,2005,50,54,0.077510306,0.054167514,0.109745193,373.593973,31.390468
Rwanda,RWA,RW2010DHS,2010,15,19,0.100958357,0.083541934,0.121524209,1295.911492,145.525065
